Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,F2Pool,GBMiners,HaoBTC,SlushPool,Unknown,ViaBTC,others
2016-02-22 00:00:00 UTC,,2.680965587462231e+17,,,1.6480394520330595e+17,7.89201991114423e+16,3.2496552575299772e+16,1.2998621030119909e+17,2.680965587462231e+17,,,5.570837584337103e+16,2321182326807126.5,,1.102561605233385e+17
2016-02-29 00:00:00 UTC,9.202888948367812e+15,2.542298071986608e+17,,,1.7945633449317232e+17,6.5570583757120664e+16,5.291661145311492e+16,1.47246223173885e+17,3.1634930760014355e+17,,,3.91122780305632e+16,1150361118545976.5,,1.0698358402477582e+17
2016-03-07 00:00:00 UTC,2.812180358278677e+16,3.014657344074742e+17,,,1.8672877578970413e+17,8.661515503498325e+16,2.924667572609824e+16,1.1586183076108149e+17,2.7896829154124474e+17,,,4.499488573245883e+16,5.624360716557354e+15,,1.0011362075472091e+17
2016-03-14 00:00:00 UTC,3.543251200919845e+16,3.1660663956606355e+17,,,1.5887481191221238e+17,6.629308698495194e+16,3.314654349247597e+16,1.417300480367938e+17,2.754592062650589e+17,,,4.000444904264341e+16,1142984258361240.2,,1.017255989941504e+17
2016-03-21 00:00:00 UTC,3.060109856461756e+16,3.2366546558730106e+17,,,1.7654479941125514e+17,6.5910058446868584e+16,3.2955029223434292e+16,1.3652797821137064e+17,2.8835650570505005e+17,,,4.119378652929286e+16,,,1.0828081030556981e+17
2016-03-28 00:00:00 UTC,3.6488256350176504e+16,3.3898767189841395e+17,,,1.8597240333315766e+17,5.532090478897728e+16,3.413417529532641e+16,1.1299589063280466e+17,2.7542748341746134e+17,,,4.472754004215185e+16,,,1.3065149854418038e+17
2016-04-04 00:00:00 UTC,2.48842646356592e+16,3.54304529812481e+17,,,1.8248460732816746e+17,8.294754878553067e+16,5.332342421926971e+16,1.2560628816094645e+17,3.152006853850165e+17,,,4.384370435806621e+16,2.369929965300876e+15,,1.1375663833444203e+17
2016-04-11 00:00:00 UTC,1.9645771242930524e+16,3.573074644807989e+17,,,1.6576119486222634e+17,1.0191243832270211e+17,4.911442810732631e+16,1.1419104534953368e+17,3.155602005895716e+17,,,6.139303513415789e+16,3683582108049473.5,,1.1787462745758315e+17
2016-04-18 00:00:00 UTC,1.0147434445543708e+16,3.51354917676951e+17,,,2.0041183029948826e+17,8.37163341757356e+16,4.439502569925373e+16,1.2684293056929637e+17,3.1203360920046906e+17,,,5.961617736756929e+16,,,1.04011203066823e+17
2016-04-25 00:00:00 UTC,1.0173834879002518e+16,3.624428675644647e+17,,,1.983897801405491e+17,9.029278455114734e+16,3.815188079625944e+16,1.0809699558940174e+17,2.975846702108236e+17,,,5.722782119438916e+16,1271729359875314.8,,1.0936872494927706e+17
2016-05-02 00:00:00 UTC,8.860762105963486e+15,3.7594947792445075e+17,,,2.025317052791654e+17,1.2658231579947838e+17,4.177216421382787e+16,1.253164926414836e+17,3.4810136844856557e+17,,,7.468356632169224e+16,,,1.012658526395827e+17
