Time,50BTC.com,AntPool,BTC Guild,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,KnCMiner,SlushPool,Unknown,ViaBTC,ghash.io,others
2013-04-01 00:00:00 UTC,8815658844449.48,,25212515934125.684,,,,4723153597026.206,1435731349096.0342,,,7688542645159.136,10318480443503.273,,,8453371494677.585
2013-05-01 00:00:00 UTC,15006862585990.344,,31174865770662.24,,,,8902077923225.22,1829676094892.1404,492605102470.9609,,9078008316964.852,10995649608726.805,,,10080811561280.734
2013-06-01 00:00:00 UTC,26236523488388.99,,33748454424011.94,,,,6269148244067.685,3949287219831.1846,4253078544433.5835,,15382887982139.648,16128557597072.809,,,37863446002717.16
2013-07-01 00:00:00 UTC,41712112005275.55,,51607778216737.31,,,,7223418795708.378,8977081162296.54,4509417514083.843,,21586748655382.84,29812260231998.74,,,58580673817218.8
2013-08-01 00:00:00 UTC,69147155071987.33,,119639224829124.11,,,,15957035785843.23,15879948656443.023,14184031809638.428,,33995424065492.098,53344293544944.516,,35537166653496.27,92273293892049.98
2013-09-01 00:00:00 UTC,92504894111869.58,,310355639167146.06,,,,24243847713333.848,28714344454799.664,19601408789503.96,,65166087115982.48,118124279284115.98,,168675280899152.5,140132878626716.92
2013-10-01 00:00:00 UTC,85610000975453.94,,682545189595210.1,,,,132306365143883.36,203129184132668.0,28796091237198.145,,172776547423188.88,407425777369546.7,,484863914615525.56,214803275174775.34
2013-11-01 00:00:00 UTC,2669048163629.272,,1.293598676638987e+15,,,889682721209.7573,266015133641717.44,566727893410615.4,76512714024039.14,,290926249835590.6,600535836816586.2,,1133455786821230.8,387901666447454.2
2013-12-01 00:00:00 UTC,1491354538469.2932,,2219135553242308.2,,,,420561979848340.7,941044713774123.9,481707515925581.7,,480216161387112.4,967889095466571.1,,2.371253716166176e+15,492146997694866.6
2014-01-01 00:00:00 UTC,11028897087898.025,,3584391553566858.5,13786121359872.531,,,350167482540762.3,1.764623534063684e+15,1.764623534063684e+15,,705849413625473.6,1706721824352219.5,,4.819628027411437e+15,366710828172609.3
2014-02-01 00:00:00 UTC,44455993953506.18,49395548837229.09,4.92473621907174e+15,9879109767445.818,,,395164390697832.75,4.554269602792522e+15,2519172990698683.5,,795268336279388.4,2.776029844652275e+15,,7.320420337677351e+15,824905665581725.9
2014-03-01 00:00:00 UTC,122899289584053.8,88760598032927.73,5.393913265077916e+15,,,,396008821993062.25,4.936454798292827e+15,4267336443890756.5,,962711101741754.6,6.977948553050165e+15,,8.978475877946151e+15,2.785717230571886e+15
2014-04-01 00:00:00 UTC,209740626138767.75,178279532217952.6,6.701213005133631e+15,,,,692144066257933.6,4.635267837666768e+15,7.760403167134407e+15,,1331852975981175.5,1.3213659446742368e+16,,1.3706549918168474e+16,4320656898458616.5
2014-05-01 00:00:00 UTC,99945028877670.88,,8.88082970884447e+15,,,,1013728150044947.6,5.939590287587299e+15,9.366276991964586e+15,2769905086038307.5,2113123467699327.2,1.2221849245612324e+16,,2.362986039893505e+16,5.911034565050821e+15
2014-06-01 00:00:00 UTC,41205656033125.78,1.133155540910959e+15,1.1022512988861146e+16,,,2698970470169738.5,1421595133142839.5,7.293401117863263e+15,1.468981637580934e+16,5.933614468770113e+15,3.749714699014446e+15,8.818010391088917e+15,,3.8609699703038856e+16,1.0074782900099252e+16
2014-07-01 00:00:00 UTC,,3.405354678124157e+15,9.601983682579592e+15,,,9.601983682579592e+15,1479375392955576.5,7.145662275408067e+15,2.4032871949712292e+16,5.55463590939924e+15,4.968468300869672e+15,9.685721912369528e+15,,4.24273697602354e+16,1.4179673577762884e+16
2014-08-01 00:00:00 UTC,,3899349552410662.5,1.0613012260039454e+16,,,1.3834214064204784e+16,949406847543465.6,8.985457664250657e+15,3.817971822621222e+16,6.001607571971193e+15,6.23895928385706e+15,1.661461983201065e+16,,4.5605436069498616e+16,2.2921393890692244e+16
2014-09-01 00:00:00 UTC,,6.166273343388899e+15,1.3017688169376564e+16,,,1.370282965197533e+16,1.223466933212083e+15,9.787735465696664e+15,5.432193183461649e+16,9.102593983097898e+15,7.732311017900365e+15,3.910200318545818e+16,,5.2217568709491704e+16,2.5497050888139812e+16
2014-10-01 00:00:00 UTC,,5.246908947744102e+15,1.179144053847868e+16,677020509386335.8,,1.348399181194452e+16,1974643152376812.8,1.2468461047865018e+16,7.046655135196112e+16,1.117083840487454e+16,8.349919615764808e+15,4.479619037106255e+16,,5.5064334763421976e+16,2.7983514387968544e+16
2014-11-01 00:00:00 UTC,,1.3490380671790638e+16,1.3425209750670876e+16,9.123928956766616e+15,,1.6683755806658952e+16,1759614870233561.5,1.107905659035946e+16,7.071044941494126e+16,1.9681618178167984e+16,9.905980010203754e+15,4.8552336234222344e+16,,4.718374689070735e+16,2.6720077659102224e+16
2014-12-01 00:00:00 UTC,,3.1658698070111456e+16,1.3276228222949964e+16,1.7808017664437694e+16,,1.2701776040226168e+16,1.276560406052881e+15,9.765687106304542e+15,6.484926862748637e+16,1.7871845684740338e+16,1.0212483248423048e+16,5.029647999848353e+16,,4.1105245074902776e+16,1.6276145177174234e+16
2015-01-01 00:00:00 UTC,,4.475480677561095e+16,1.3541545166599382e+16,2.362999631571592e+16,880200435828959.8,1.1036359310778496e+16,1895816323323913.5,8.869712084122595e+15,6.411921636384807e+16,2.105710273406204e+16,8.260342551625623e+15,5.084850210058067e+16,,3.0333061173182616e+16,2.7557044414029736e+16
